2015-10-01T17:10:35 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-01T18:12:59 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-01T20:18:39 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-01T21:30:58 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-01T21:43:58 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-01T22:55:54 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T00:05:00 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T02:27:51 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T02:29:03 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T03:39:30 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T03:44:04 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T03:51:08 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T04:03:08 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T04:12:43 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T04:55:12 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T05:05:24 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-02T05:10:43 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-06T18:26:00 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-07T21:40:29 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-23T00:02:27 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-23T05:43:17 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-23T07:13:45 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-25T00:22:01 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-26T20:35:34 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-26T21:39:42 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-26T23:39:02 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-10-27T17:53:49 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-03T18:57:34 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-03T21:07:33 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-04T06:05:44 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-04T06:07:26 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-04T07:13:52 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-05T08:57:51 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-11T09:03:10 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-13T05:47:48 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-13T05:52:01 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-13T08:20:18 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-13T15:52:28 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
2015-11-18T18:33:49 , Start,           0 ,       init ,            0 ,            0 ,            0 ,  
